,TYPE,RELEASE_YEAR,COUNT
0,Movie,1920,3
1,Movie,1922,2
2,Movie,1923,2
3,Movie,1924,1
4,Movie,1925,8
5,Movie,1926,2
6,Movie,1927,1
7,Movie,1928,1
8,Movie,1929,4
9,Movie,1930,5
10,Movie,1931,3
11,Movie,1932,10
12,Movie,1933,8
13,Movie,1934,16
14,Movie,1935,19
15,Movie,1936,34
16,Movie,1937,30
17,Movie,1938,20
18,Movie,1939,26
19,Movie,1940,23
20,Movie,1941,29
21,Movie,1942,24
22,Movie,1943,26
23,Movie,1944,16
24,Movie,1945,17
25,Movie,1946,23
26,Movie,1947,28
27,Movie,1948,20
28,Movie,1949,19
29,Movie,1950,30
30,Movie,1951,23
31,Movie,1952,24
32,Movie,1953,30
33,Movie,1954,19
34,Movie,1955,19
35,Movie,1956,23
36,Movie,1957,12
37,Movie,1958,19
38,Movie,1959,23
39,Movie,1960,18
40,Movie,1961,16
41,Movie,1962,20
42,Movie,1963,25
43,Movie,1964,20
44,Movie,1965,17
45,Movie,1966,14
46,Movie,1967,22
47,Movie,1968,23
48,Movie,1969,21
49,Movie,1970,29
50,Movie,1971,26
51,Movie,1972,30
52,Movie,1973,31
53,Movie,1974,34
54,Movie,1975,39
55,Movie,1976,25
56,Movie,1977,27
57,Movie,1978,29
58,Movie,1979,34
59,Movie,1980,41
60,Movie,1981,35
61,Movie,1982,38
62,Movie,1983,30
63,Movie,1984,46
64,Movie,1985,44
65,Movie,1986,59
66,Movie,1987,50
67,Movie,1988,68
68,Movie,1989,62
69,Movie,1990,63
70,Movie,1991,66
71,Movie,1992,81
72,Movie,1993,100
73,Movie,1994,99
74,Movie,1995,106
75,Movie,1996,96
76,Movie,1997,112
77,Movie,1998,112
78,Movie,1999,118
79,Movie,2000,140
80,Movie,2001,138
81,Movie,2002,164
82,Movie,2003,162
83,Movie,2004,185
84,Movie,2005,194
85,Movie,2006,245
86,Movie,2007,266
87,Movie,2008,289
88,Movie,2009,290
89,Movie,2010,356
90,Movie,2011,426
91,Movie,2012,450
92,Movie,2013,520
93,Movie,2014,640
94,Movie,2015,762
95,Movie,2016,1159
96,Movie,2017,1321
97,Movie,2018,1394
98,Movie,2019,1662
99,Movie,2020,1553
100,Movie,2021,1597
101,TV Show,1925,1
102,TV Show,1932,1
103,TV Show,1933,1
104,TV Show,1936,1
105,TV Show,1945,2
106,TV Show,1946,2
107,TV Show,1951,1
108,TV Show,1953,1
109,TV Show,1954,3
110,TV Show,1955,4
111,TV Show,1957,1
112,TV Show,1958,1
113,TV Show,1959,3
114,TV Show,1960,2
115,TV Show,1961,2
116,TV Show,1962,1
117,TV Show,1963,4
118,TV Show,1965,2
119,TV Show,1966,1
120,TV Show,1967,4
121,TV Show,1968,1
122,TV Show,1969,3
123,TV Show,1970,2
124,TV Show,1972,4
125,TV Show,1973,1
126,TV Show,1974,4
127,TV Show,1975,2
128,TV Show,1976,1
129,TV Show,1977,1
130,TV Show,1978,7
131,TV Show,1979,3
132,TV Show,1980,1
133,TV Show,1981,7
134,TV Show,1982,4
135,TV Show,1983,4
136,TV Show,1984,5
137,TV Show,1985,9
138,TV Show,1986,7
139,TV Show,1987,2
140,TV Show,1988,8
141,TV Show,1989,16
142,TV Show,1990,13
143,TV Show,1991,9
144,TV Show,1992,15
145,TV Show,1993,15
146,TV Show,1994,14
147,TV Show,1995,19
148,TV Show,1996,21
149,TV Show,1997,23
150,TV Show,1998,26
151,TV Show,1999,32
152,TV Show,2000,27
153,TV Show,2001,35
154,TV Show,2002,25
155,TV Show,2003,40
156,TV Show,2004,47
157,TV Show,2005,72
158,TV Show,2006,78
159,TV Show,2007,68
160,TV Show,2008,97
161,TV Show,2009,124
162,TV Show,2010,136
163,TV Show,2011,149
164,TV Show,2012,199
165,TV Show,2013,215
166,TV Show,2014,282
167,TV Show,2015,385
168,TV Show,2016,490
169,TV Show,2017,571
170,TV Show,2018,711
171,TV Show,2019,808
172,TV Show,2020,853
173,TV Show,2021,788
